日期,類別,大類別,金額,貨幣,成員,帳戶,標籤,備註,收支區分,上次更新,UUID
20250917,日常用品,生活,792,TWD,自己,現金,,家樂福 雷達速效蟑螂螞蟻藥 白蘭小蒼蘭洗衣精補充包 白人牙膏特大號 刷樂纖柔護齦牙刷 舒適捍將3刀片 派頓75%酒精 兩用袋13.9L OPENPOINT 點數折扣14元,支,2025-09-17 22:44:37,27FBADC0-4A20-4A12-80EE-7CB0E202AB43
20250917,轉帳手續費,,5,TWD,自己,富邦活存銀行,,,支,2025-09-21 21:44:23,BCF4AB15-CB3C-4ACE-A542-7FF92B77EABD
20250917,晚餐,飲食,20,TWD,自己,現金,,濟南牛肉麵 幫老爸出零頭,支,2025-09-17 19:32:53,24CF46BC-62FC-4379-88D2-1F7DE98BE858
20250917,轉帳手續費,,1.05,USD,自己,富邦證券美金交割戶,,,支,2025-09-17 12:43:51,BC45A667-ED0C-4C3F-9647-2C5A01F83D93
20250917,午餐,飲食,75,TWD,自己,現金,,大安區 無名麵店 餛飩麵,支,2025-09-17 12:10:10,303824C4-866F-4195-8053-BDF92C806020
20250917,客運錢,交通,520,TWD,自己,富邦J卡信用卡,,統聯客運 9/27 02:30 台北轉運站 - 捷運苓雅運動園區 座位號碼19 訂票代碼 54WISE4466 取票數字 911231 信用卡末4碼 8715,支,2025-10-01 08:49:53,4E9CFC1C-0AE1-4D50-BF36-01D96A6A8DC5
20250916,午餐,飲食,110,TWD,自己,現金,,京饌自助餐 腿庫 魯肉,支,2025-09-17 01:18:08,EC53B322-E9A3-4962-8B70-17B2A67B50ED
20250916,點心,飲食,79,TWD,自己,富邦J卡信用卡,,7-11 香蕉 蒜香黑胡椒雞胸肉,支,2025-09-21 16:21:16,504ACE70-BED7-4908-A6E7-6AEF6158F262
20250916,晚餐,飲食,125,TWD,自己,富邦J卡信用卡,,蛋白盒子 香煎蒙特婁雞胸餐盒,支,2025-09-21 16:21:34,16115828-FA3B-4485-8224-D47F01AAF55F
20250916,捷運錢,交通,35,TWD,自己,富邦J卡 一卡通功能,,江子翠到辛亥,支,2025-09-16 18:28:56,0DC5BA0B-23F5-4BDC-BA5C-CEEEE73A1C02
20250916,早餐,飲食,52,TWD,自己,現金,,全家 紐奧良風味烤雞鮮蔬三明治,支,2025-09-16 10:17:06,A8A1D7BC-E23D-40AC-A5B0-3176434F493E
20250916,電話網路,必要支出,1198,TWD,自己,富邦J卡信用卡,,台灣大哥大 電話費,支,2025-09-21 16:20:41,7E9C2A8C-78EF-48C1-8FA2-3325B383D47D
20250916,捷運錢,交通,35,TWD,自己,富邦J卡 一卡通功能,,辛亥到江子翠,支,2025-09-16 09:19:15,715C9239-A387-456B-A0A0-21FC2B18D064
20250915,晚餐,飲食,200,TWD,自己,富邦J卡信用卡,,蛋白盒子 減鹽味噌烤鱸魚餐盒 加 香煎黑胡椒雞胸,支,2025-09-21 16:20:22,F8686128-E05F-47CB-B6C4-4FB2013623C7
20250915,捷運錢,交通,20,TWD,自己,富邦J卡 一卡通功能,,大安到辛亥,支,2025-09-15 17:16:47,AA66171E-006C-4360-A6E7-CE8BA072B416
20250915,午餐,飲食,120,TWD,自己,現金,,九鴻葉記港式燒臘 燒肉叉燒飯,支,2025-09-15 12:20:53,C53F04EF-DD79-4B34-814C-FFEF19C89526
20250915,早餐,飲食,45,TWD,自己,現金,,永和豆漿 燒餅油條加蛋,支,2025-09-15 09:04:16,3EB92059-AE78-4600-A5CF-0286A1EC3368
20250915,捷運錢,交通,20,TWD,自己,富邦J卡 一卡通功能,,辛亥到大安,支,2025-09-15 08:45:36,7ED8AFA0-81E0-482A-97E1-EEE63249BDD9
